alpha,epi_mean,scenario,p99_brut,p99_theta,mean_loss,output_mean,premium_pct
0.7,0.3,baseline,1097.04,1097.04,801.7328,1198.2673,0.0
0.7,0.4,baseline,1097.04,1097.04,801.7328,1198.2673,0.0
0.7,0.5,baseline,1097.04,1097.04,801.7328,1198.2673,0.0
0.7,0.6,baseline,1097.04,1097.04,801.7328,1198.2673,0.0
0.7,0.7,baseline,1097.04,1097.04,801.7328,1198.2673,0.0
0.7,0.8,baseline,1097.04,1097.04,801.7328,1198.2673,0.0
0.7,0.9,baseline,1097.04,1097.04,801.7328,1198.2673,0.0
0.1,0.3,G0,1452.02,1815.025,754.6627,1556.6716,65.4475
0.1,0.4,G0,1374.11,1717.6375,695.5445,1630.5694,56.5702
0.1,0.5,G0,1341.02,1676.275,638.8425,1701.4469,52.7998
0.1,0.6,G0,1319.11,1648.8875,577.6147,1777.9816,50.3033
0.1,0.7,G0,1316.01,1645.0125,517.236,1853.455,49.9501
0.1,0.8,G0,1315.01,1643.7625,456.4095,1929.4881,49.8362
0.1,0.9,G0,1313.02,1641.275,399.9792,2000.0259,49.6094
0.2,0.3,G0,1555.01,1943.7625,759.6548,1550.4316,77.1825
0.2,0.4,G0,1454.02,1817.525,699.3628,1625.7966,65.6754
0.2,0.5,G0,1454.02,1817.525,642.1658,1697.2928,65.6754
0.2,0.6,G0,1448.04,1810.05,580.1712,1774.7859,64.994
0.2,0.7,G0,1440.08,1800.1,519.078,1851.1525,64.087
0.2,0.8,G0,1440.08,1800.1,457.5892,1928.0134,64.087
0.2,0.9,G0,1456.03,1820.0375,400.266,1999.6675,65.9044
0.3,0.3,G0,1628.03,2035.0375,759.6467,1550.4416,85.5026
0.3,0.4,G0,1531.02,1913.775,698.6845,1626.6444,74.449
0.3,0.5,G0,1530.01,1912.5125,641.0945,1698.6319,74.3339
0.3,0.6,G0,1527.03,1908.7875,578.5965,1776.7544,73.9943
0.3,0.7,G0,1527.0,1908.75,516.8148,1853.9816,73.9909
0.3,0.8,G0,1527.0,1908.75,454.9773,1931.2784,73.9909
0.3,0.9,G0,1531.02,1913.775,397.4005,2003.2494,74.449
0.45,0.3,G0,1706.0,2132.5,757.136,1553.58,94.3867
0.45,0.4,G0,1666.04,2082.55,695.8932,1630.1334,89.8336
0.45,0.5,G0,1666.0,2082.5,637.3587,1703.3016,89.829
0.45,0.6,G0,1651.15,2063.9375,573.5925,1783.0094,88.1369
0.45,0.7,G0,1649.02,2061.275,511.0082,1861.2397,87.8942
0.45,0.8,G0,1649.02,2061.275,448.4638,1939.4203,87.8942
0.45,0.9,G0,1649.02,2061.275,390.8705,2011.4119,87.8942
0.6,0.3,G0,1742.0,2177.5,748.4928,1564.3841,98.4887
0.6,0.4,G0,1703.01,2128.7625,687.8723,1640.1597,94.046
0.6,0.5,G0,1703.01,2128.7625,629.2368,1713.4541,94.046
0.6,0.6,G0,1702.01,2127.5125,565.9257,1792.5928,93.9321
0.6,0.7,G0,1702.0,2127.5,503.274,1870.9075,93.9309
0.6,0.8,G0,1702.0,2127.5,440.5063,1949.3672,93.9309
0.6,0.9,G0,1702.01,2127.5125,383.0587,2021.1766,93.9321
0.7,0.3,G0,1751.0,2188.75,740.1335,1574.8331,99.5141
0.7,0.4,G0,1711.01,2138.7625,681.5245,1648.0944,94.9576
0.7,0.5,G0,1711.01,2138.7625,623.383,1720.7713,94.9576
