profile_id,city,scenario,bin_lo,bin_hi,count,density,mean_loss,p99_brut,p99_theta,tail_ratio,output_mean,crisis_pct
P1,Frankfurt,baseline,0,100,0,0.0,601.1577,924.01,924.01,1.5371,1398.8422,0.08
P1,Frankfurt,baseline,100,200,0,0.0,601.1577,924.01,924.01,1.5371,1398.8422,0.08
P1,Frankfurt,baseline,200,300,32,3.2e-05,601.1577,924.01,924.01,1.5371,1398.8422,0.08
P1,Frankfurt,baseline,300,400,455,0.000455,601.1577,924.01,924.01,1.5371,1398.8422,0.08
P1,Frankfurt,baseline,400,500,1709,0.001709,601.1577,924.01,924.01,1.5371,1398.8422,0.08
P1,Frankfurt,baseline,500,600,2933,0.002933,601.1577,924.01,924.01,1.5371,1398.8422,0.08
P1,Frankfurt,baseline,600,700,2673,0.002673,601.1577,924.01,924.01,1.5371,1398.8422,0.08
P1,Frankfurt,baseline,700,800,1545,0.001545,601.1577,924.01,924.01,1.5371,1398.8422,0.08
P1,Frankfurt,baseline,800,900,512,0.000512,601.1577,924.01,924.01,1.5371,1398.8422,0.08
P1,Frankfurt,baseline,900,1000,116,0.000116,601.1577,924.01,924.01,1.5371,1398.8422,0.08
P1,Frankfurt,baseline,1000,1100,23,2.3e-05,601.1577,924.01,924.01,1.5371,1398.8422,0.08
P1,Frankfurt,baseline,1100,1200,2,2e-06,601.1577,924.01,924.01,1.5371,1398.8422,0.08
P1,Frankfurt,baseline,1200,1300,0,0.0,601.1577,924.01,924.01,1.5371,1398.8422,0.08
P1,Frankfurt,baseline,1300,1400,0,0.0,601.1577,924.01,924.01,1.5371,1398.8422,0.08
P1,Frankfurt,baseline,1400,1500,0,0.0,601.1577,924.01,924.01,1.5371,1398.8422,0.08
P1,Frankfurt,baseline,1500,1600,0,0.0,601.1577,924.01,924.01,1.5371,1398.8422,0.08
P1,Frankfurt,baseline,1600,1700,0,0.0,601.1577,924.01,924.01,1.5371,1398.8422,0.08
P1,Frankfurt,baseline,1700,1800,0,0.0,601.1577,924.01,924.01,1.5371,1398.8422,0.08
P1,Frankfurt,baseline,1800,1900,0,0.0,601.1577,924.01,924.01,1.5371,1398.8422,0.08
P1,Frankfurt,G0,0,100,14,1.4e-05,572.918,1699.0,2123.75,2.9655,1783.8525,0.08
P1,Frankfurt,G0,100,200,896,0.000896,572.918,1699.0,2123.75,2.9655,1783.8525,0.08
P1,Frankfurt,G0,200,300,876,0.000876,572.918,1699.0,2123.75,2.9655,1783.8525,0.08
P1,Frankfurt,G0,300,400,1838,0.001838,572.918,1699.0,2123.75,2.9655,1783.8525,0.08
P1,Frankfurt,G0,400,500,1595,0.001595,572.918,1699.0,2123.75,2.9655,1783.8525,0.08
P1,Frankfurt,G0,500,600,1114,0.001114,572.918,1699.0,2123.75,2.9655,1783.8525,0.08
P1,Frankfurt,G0,600,700,1307,0.001307,572.918,1699.0,2123.75,2.9655,1783.8525,0.08
P1,Frankfurt,G0,700,800,677,0.000677,572.918,1699.0,2123.75,2.9655,1783.8525,0.08
P1,Frankfurt,G0,800,900,385,0.000385,572.918,1699.0,2123.75,2.9655,1783.8525,0.08
P1,Frankfurt,G0,900,1000,317,0.000317,572.918,1699.0,2123.75,2.9655,1783.8525,0.08
P1,Frankfurt,G0,1000,1100,123,0.000123,572.918,1699.0,2123.75,2.9655,1783.8525,0.08
P1,Frankfurt,G0,1100,1200,77,7.7e-05,572.918,1699.0,2123.75,2.9655,1783.8525,0.08
P1,Frankfurt,G0,1200,1300,75,7.5e-05,572.918,1699.0,2123.75,2.9655,1783.8525,0.08
P1,Frankfurt,G0,1300,1400,93,9.3e-05,572.918,1699.0,2123.75,2.9655,1783.8525,0.08
P1,Frankfurt,G0,1400,1500,134,0.000134,572.918,1699.0,2123.75,2.9655,1783.8525,0.08
P1,Frankfurt,G0,1500,1600,181,0.000181,572.918,1699.0,2123.75,2.9655,1783.8525,0.08
P1,Frankfurt,G0,1600,1700,195,0.000195,572.918,1699.0,2123.75,2.9655,1783.8525,0.08
P1,Frankfurt,G0,1700,1800,100,0.0001,572.918,1699.0,2123.75,2.9655,1783.8525,0.08
P1,Frankfurt,G0,1800,1900,3,3e-06,572.918,1699.0,2123.75,2.9655,1783.8525,0.08
P1,Frankfurt,G1,0,100,0,0.0,592.5322,1548.0,1857.6,2.6125,1688.9613,0.08
P1,Frankfurt,G1,100,200,163,0.000163,592.5322,1548.0,1857.6,2.6125,1688.9613,0.08
P1,Frankfurt,G1,200,300,921,0.000921,592.5322,1548.0,1857.6,2.6125,1688.9613,0.08
P1,Frankfurt,G1,300,400,1650,0.00165,592.5322,1548.0,1857.6,2.6125,1688.9613,0.08
P1,Frankfurt,G1,400,500,1763,0.001763,592.5322,1548.0,1857.6,2.6125,1688.9613,0.08
P1,Frankfurt,G1,500,600,1740,0.00174,592.5322,1548.0,1857.6,2.6125,1688.9613,0.08
P1,Frankfurt,G1,600,700,1303,0.001303,592.5322,1548.0,1857.6,2.6125,1688.9613,0.08
P1,Frankfurt,G1,700,800,829,0.000829,592.5322,1548.0,1857.6,2.6125,1688.9613,0.08
P1,Frankfurt,G1,800,900,462,0.000462,592.5322,1548.0,1857.6,2.6125,1688.9613,0.08
P1,Frankfurt,G1,900,1000,256,0.000256,592.5322,1548.0,1857.6,2.6125,1688.9613,0.08
P1,Frankfurt,G1,1000,1100,120,0.00012,592.5322,1548.0,1857.6,2.6125,1688.9613,0.08
P1,Frankfurt,G1,1100,1200,90,9e-05,592.5322,1548.0,1857.6,2.6125,1688.9613,0.08
P1,Frankfurt,G1,1200,1300,110,0.00011,592.5322,1548.0,1857.6,2.6125,1688.9613,0.08
P1,Frankfurt,G1,1300,1400,177,0.000177,592.5322,1548.0,1857.6,2.6125,1688.9613,0.08
P1,Frankfurt,G1,1400,1500,208,0.000208,592.5322,1548.0,1857.6,2.6125,1688.9613,0.08
P1,Frankfurt,G1,1500,1600,169,0.000169,592.5322,1548.0,1857.6,2.6125,1688.9613,0.08
P1,Frankfurt,G1,1600,1700,39,3.9e-05,592.5322,1548.0,1857.6,2.6125,1688.9613,0.08
P1,Frankfurt,G1,1700,1800,0,0.0,592.5322,1548.0,1857.6,2.6125,1688.9613,0.08
P1,Frankfurt,G1,1800,1900,0,0.0,592.5322,1548.0,1857.6,2.6125,1688.9613,0.08
P1,Frankfurt,G2,0,100,0,0.0,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,100,200,10,1e-05,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,200,300,372,0.000372,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,300,400,1339,0.001339,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,400,500,2225,0.002225,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,500,600,2255,0.002255,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,600,700,1646,0.001646,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,700,800,824,0.000824,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,800,900,406,0.000406,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,900,1000,196,0.000196,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,1000,1100,152,0.000152,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,1100,1200,228,0.000228,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,1200,1300,234,0.000234,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,1300,1400,98,9.8e-05,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,1400,1500,15,1.5e-05,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,1500,1600,0,0.0,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,1600,1700,0,0.0,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,1700,1800,0,0.0,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,1800,1900,0,0.0,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P2,London,baseline,0,100,0,0.0,400.912,635.01,635.01,1.5839,1599.088,0.08
P2,London,baseline,100,200,80,8e-05,400.912,635.01,635.01,1.5839,1599.088,0.08
P2,London,baseline,200,300,1342,0.001342,400.912,635.01,635.01,1.5839,1599.088,0.08
P2,London,baseline,300,400,3683,0.003683,400.912,635.01,635.01,1.5839,1599.088,0.08
P2,London,baseline,400,500,3366,0.003366,400.912,635.01,635.01,1.5839,1599.088,0.08
