replication_id,original_m,t,total_loss,is_crisis
1,3,1,360.0,0
1,3,2,113.0,0
1,3,3,397.0,0
1,3,4,263.0,0
1,3,5,1548.0,1
1,3,6,349.0,0
1,3,7,573.0,0
1,3,8,430.0,0
1,3,9,508.0,0
1,3,10,238.0,0
1,3,11,468.0,0
1,3,12,322.0,0
1,3,13,368.0,0
1,3,14,126.0,0
1,3,15,348.0,0
1,3,16,477.0,0
1,3,17,157.0,0
1,3,18,446.0,0
1,3,19,331.0,0
1,3,20,122.0,0
2,4,1,339.0,0
2,4,2,404.0,0
2,4,3,118.0,0
2,4,4,230.0,0
2,4,5,128.0,0
2,4,6,337.0,0
2,4,7,481.0,0
2,4,8,630.0,0
2,4,9,321.0,0
2,4,10,149.0,0
2,4,11,138.0,0
2,4,12,307.0,0
2,4,13,190.0,0
2,4,14,220.0,0
2,4,15,1563.0,1
2,4,16,363.0,0
2,4,17,333.0,0
2,4,18,1696.0,1
2,4,19,323.0,0
2,4,20,291.0,0
3,6,1,147.0,0
3,6,2,358.0,0
3,6,3,457.0,0
3,6,4,315.0,0
3,6,5,250.0,0
3,6,6,409.0,0
3,6,7,284.0,0
3,6,8,415.0,0
3,6,9,305.0,0
3,6,10,428.0,0
3,6,11,857.0,1
3,6,12,327.0,0
3,6,13,377.0,0
3,6,14,444.0,0
3,6,15,345.0,0
3,6,16,268.0,0
3,6,17,323.0,0
3,6,18,821.0,1
3,6,19,363.0,0
3,6,20,577.0,0
4,7,1,417.0,0
4,7,2,123.0,0
4,7,3,140.0,0
4,7,4,285.0,0
4,7,5,108.0,0
4,7,6,95.0,0
4,7,7,577.0,0
4,7,8,272.0,0
4,7,9,621.0,0
4,7,10,337.0,0
4,7,11,1617.0,1
4,7,12,538.0,0
4,7,13,257.0,0
4,7,14,1042.0,1
4,7,15,158.0,0
4,7,16,364.0,0
4,7,17,154.0,0
4,7,18,209.0,0
4,7,19,819.0,1
4,7,20,474.0,0
5,9,1,1550.0,1
5,9,2,380.0,0
5,9,3,182.0,0
5,9,4,363.0,0
5,9,5,280.0,0
5,9,6,205.0,0
5,9,7,1318.0,1
5,9,8,427.0,0
5,9,9,131.0,0
5,9,10,435.0,0
5,9,11,567.0,0
5,9,12,600.0,0
5,9,13,407.0,0
5,9,14,713.0,0
5,9,15,467.0,0
5,9,16,570.0,0
5,9,17,277.0,0
5,9,18,323.0,0
5,9,19,146.0,0
5,9,20,490.0,0
6,10,1,325.0,0
6,10,2,274.0,0
6,10,3,292.0,0
6,10,4,252.0,0
6,10,5,276.0,0
6,10,6,577.0,0
6,10,7,264.0,0
6,10,8,164.0,0
6,10,9,347.0,0
6,10,10,238.0,0
6,10,11,587.0,0
6,10,12,326.0,0
6,10,13,566.0,0
6,10,14,1118.0,1
6,10,15,131.0,0
6,10,16,732.0,1
6,10,17,334.0,0
6,10,18,478.0,0
6,10,19,324.0,0
6,10,20,824.0,1
7,11,1,553.0,0
7,11,2,566.0,0
7,11,3,1530.0,1
7,11,4,574.0,0
7,11,5,541.0,0
7,11,6,592.0,0
7,11,7,222.0,0
7,11,8,433.0,0
7,11,9,261.0,0
7,11,10,318.0,0
7,11,11,1555.0,1
7,11,12,212.0,0
7,11,13,354.0,0
7,11,14,193.0,0
7,11,15,561.0,0
7,11,16,449.0,0
7,11,17,525.0,0
7,11,18,1644.0,1
7,11,19,185.0,0
7,11,20,507.0,0
8,13,1,215.0,0
8,13,2,242.0,0
8,13,3,520.0,0
8,13,4,203.0,0
8,13,5,287.0,0
8,13,6,1437.0,1
8,13,7,146.0,0
8,13,8,384.0,0
8,13,9,465.0,0
8,13,10,282.0,0
8,13,11,364.0,0
8,13,12,480.0,0
8,13,13,753.0,1
8,13,14,346.0,0
8,13,15,380.0,0
8,13,16,359.0,0
8,13,17,499.0,0
8,13,18,562.0,0
8,13,19,276.0,0
8,13,20,1004.0,1
9,15,1,250.0,0
9,15,2,534.0,0
9,15,3,437.0,0
9,15,4,254.0,0
9,15,5,437.0,0
9,15,6,281.0,0
9,15,7,130.0,0
9,15,8,710.0,0
9,15,9,320.0,0
9,15,10,586.0,0
9,15,11,229.0,0
9,15,12,270.0,0
9,15,13,1199.0,1
9,15,14,134.0,0
9,15,15,1619.0,1
9,15,16,122.0,0
9,15,17,471.0,0
9,15,18,153.0,0
9,15,19,304.0,0
9,15,20,569.0,0
10,18,1,562.0,0
10,18,2,464.0,0
10,18,3,95.0,0
10,18,4,111.0,0
10,18,5,245.0,0
10,18,6,327.0,0
10,18,7,260.0,0
10,18,8,454.0,0
10,18,9,575.0,0
10,18,10,326.0,0
10,18,11,189.0,0
10,18,12,736.0,1
10,18,13,765.0,1
10,18,14,162.0,0
10,18,15,147.0,0
10,18,16,616.0,0
10,18,17,311.0,0
10,18,18,1745.0,1
10,18,19,712.0,0
10,18,20,451.0,0
