alpha,E_pi,scenario,E_L,P99_L,P99_theta,Output,premium_pct
0.3,0.45,G0,636.5185,1487.02,1858.775,1704.351875,35.42863908343274
0.3,0.45,G2,703.002,1242.05,1366.255,1426.6978000000001,13.11827761131501
0.3,0.6,G0,557.4485,1369.1699999999998,1711.4624999999999,1803.189375,24.695585650403906
0.3,0.6,G2,654.113,1194.2299999999998,1313.6529999999998,1480.4757000000002,8.76312601888869
0.3,0.75,G0,470.104,1214.0,1517.5,1912.37,10.563656068706106
0.3,0.75,G2,599.982,1125.02,1237.5220000000002,1540.0198000000003,2.4599047367510396
0.3,0.85,G0,416.9965,1122.02,1402.525,1978.754375,2.186683181391791
0.3,0.85,G2,567.074,1024.01,1126.411,1576.2186000000002,-6.739465032194603
0.5,0.45,G0,637.3605,1605.01,2006.2625,1703.299375,46.1744428557117
0.5,0.45,G2,703.4675,1332.01,1465.211,1426.18575,21.311281318020782
0.5,0.6,G0,559.693,1521.1599999999999,1901.4499999999998,1800.38375,38.53790038342091
0.5,0.6,G2,655.446,1265.12,1391.632,1479.0094,15.219351372027567
0.5,0.75,G0,472.245,1408.1699999999998,1760.2124999999999,1909.69375,28.24746587007403
0.5,0.75,G2,601.3415,1199.1299999999999,1319.043,1538.5243500000001,9.209387892642141
0.5,0.85,G0,417.532,1296.0,1620.0,1978.085,18.03171191519204
0.5,0.85,G2,567.4815,1130.04,1243.044,1575.77035,2.9170954727188336
0.7,0.45,G0,636.198,1684.05,2105.0625,1704.7525,53.372920100909816
0.7,0.45,G2,702.7475,1357.1799999999998,1492.898,1426.97775,23.603610167484803
0.7,0.6,G0,557.496,1640.04,2050.05,1803.13,49.364759883789766
0.7,0.6,G2,654.082,1342.03,1476.2330000000002,1480.5098000000003,22.223841312920655
0.7,0.75,G0,469.321,1495.07,1868.8374999999999,1913.34875,36.16178359031339
0.7,0.75,G2,599.4925,1277.3299999999997,1405.0629999999999,1540.55825,16.33136310233967
0.7,0.85,G0,414.5395,1483.12,1853.8999999999999,1981.825625,35.07345106146573
0.7,0.85,G2,565.605,1246.01,1370.611,1577.8345,13.478930064389205
0.9,0.45,G0,634.462,1741.04,2176.3,1706.9225,58.56321891421754
0.9,0.45,G2,701.8685,1426.06,1568.6660000000002,1427.9446500000001,29.876777078532978
0.9,0.6,G0,556.253,1725.0,2156.25,1804.68375,57.10239433156345
0.9,0.6,G2,653.45,1415.05,1556.555,1481.205,28.874053970364557
0.9,0.75,G0,466.5635,1685.06,2106.325,1916.795625,53.4649046912141
0.9,0.75,G2,597.8415,1401.07,1541.1770000000001,1542.37435,27.600841522390507
0.9,0.85,G0,412.041,1683.01,2103.7625,1984.94875,53.27820329505195
0.9,0.85,G2,564.142,1385.05,1523.555,1579.4438,26.141838416772156
