profile_id,city,ablation,p99_theta,p99_brut,mean_loss,output_mean,delta_vs_full
P1,Frankfurt,full,2123.75,1699.0,572.918,1783.8525,0.0
P1,Frankfurt,no_screen,2063.7625,1651.01,582.539,1771.8263,-2.8246
P1,Frankfurt,no_conform,1977.525,1582.02,588.557,1764.3038,-6.8852
P1,Frankfurt,div_stack,1891.2625,1513.01,591.2068,1760.9916,-10.947
P1,Frankfurt,no_deskill,2086.25,1669.0,539.3098,1825.8628,-1.7657
P1,Frankfurt,G2,1458.3072,1302.06,587.7687,1581.699,-31.3334
P2,London,full,1667.525,1334.02,507.4385,1865.7019,0.0
P2,London,no_screen,1587.525,1270.02,507.0433,1866.1959,-4.7975
P2,London,no_conform,1660.025,1328.02,511.111,1861.1112,-0.4498
P2,London,div_stack,1575.025,1260.02,509.553,1863.0587,-5.5471
P2,London,no_deskill,1593.8125,1275.05,458.7398,1926.5753,-4.4205
P2,London,G2,1034.919,877.05,452.2493,1826.3459,-37.9368
P3,Paris,full,2041.275,1633.02,480.797,1899.0038,0.0
P3,Paris,no_screen,1955.0,1564.0,483.795,1895.2562,-4.2265
P3,Paris,no_conform,1858.7625,1487.01,483.6182,1895.4772,-8.9411
P3,Paris,div_stack,1766.325,1413.06,516.79,1854.0125,-13.4695
P3,Paris,no_deskill,1973.7625,1579.01,437.743,1952.8212,-3.3074
P3,Paris,G2,1302.7318,1104.01,446.7622,1832.8205,-36.1805
P4,Brussels,full,2253.775,1803.02,597.1862,1753.5172,0.0
P4,Brussels,no_screen,2193.75,1755.0,613.256,1733.43,-2.6633
P4,Brussels,no_conform,2140.0125,1712.01,624.187,1719.7662,-5.0476
P4,Brussels,div_stack,1978.7625,1583.01,640.98,1698.775,-12.2023
P4,Brussels,no_deskill,2232.5375,1786.03,584.081,1769.8988,-0.9423
P4,Brussels,G2,1610.433,1464.03,675.8065,1456.6128,-28.5451
P5,San Francisco,full,2153.7625,1723.01,467.6968,1915.3791,0.0
P5,San Francisco,no_screen,2095.0,1676.0,491.2185,1885.9769,-2.7284
P5,San Francisco,no_conform,2063.775,1651.02,497.4943,1878.1322,-4.1782
P5,San Francisco,div_stack,1922.5625,1538.05,481.8813,1897.6484,-10.7347
P5,San Francisco,no_deskill,2106.275,1685.02,424.3018,1969.6228,-2.2049
P5,San Francisco,G2,1667.5416,1544.02,495.7973,1624.539,-22.5754
P6,Singapore,full,1845.0125,1476.01,440.3263,1949.5922,0.0
P6,Singapore,no_screen,1783.8,1427.04,470.0482,1912.4397,-3.3177
P6,Singapore,no_conform,1856.35,1485.08,440.619,1949.2262,0.6145
P6,Singapore,div_stack,1845.0125,1476.01,440.3263,1949.5922,0.0
P6,Singapore,no_deskill,1828.7625,1463.01,424.034,1969.9575,-0.8808
P6,Singapore,G2,1339.833,1218.03,584.8445,1556.6711,-27.3808
P7,Bangalore,full,2310.0,1848.0,509.7513,1862.8109,0.0
P7,Bangalore,no_screen,2273.75,1819.0,558.1922,1802.2597,-1.5693
P7,Bangalore,no_conform,2268.7625,1815.01,549.983,1812.5213,-1.7852
P7,Bangalore,div_stack,2057.5125,1646.01,530.1435,1837.3206,-10.9302
P7,Bangalore,no_deskill,2268.75,1815.0,475.7742,1905.2822,-1.7857
P7,Bangalore,G2,1809.71,1757.0,581.433,1461.124,-21.6576
P8,Seoul,full,2317.5,1854.0,479.8073,1900.2409,0.0
P8,Seoul,no_screen,2268.775,1815.02,505.0933,1868.6334,-2.1025
P8,Seoul,no_conform,2172.5125,1738.01,538.7922,1826.5097,-6.2562
P8,Seoul,div_stack,2040.1875,1632.15,532.5398,1834.3253,-11.966
P8,Seoul,no_deskill,2302.5,1842.0,469.3435,1913.3206,-0.6472
P8,Seoul,G2,1700.633,1546.03,618.6855,1519.446,-26.6178
