quarter_type,quarter_id,agent,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
good,65_3,0,0,0,0,0,0,0,0,0,0,0
good,65_3,1,0,0,0,1,0,0,0,0,0,1
good,65_3,2,0,0,0,0,0,0,0,0,0,0
good,65_3,3,0,0,0,0,0,0,0,0,0,0
good,65_3,4,0,0,0,0,0,0,0,0,0,1
good,65_3,5,0,0,0,0,0,0,0,0,0,0
good,65_3,6,0,0,0,0,0,0,0,0,0,0
good,65_3,7,0,0,0,0,0,0,0,0,0,0
good,65_3,8,0,0,0,0,0,0,0,0,0,0
good,65_3,9,0,0,0,0,0,0,0,0,0,0
good,65_3,10,0,0,0,0,0,0,0,0,0,0
good,65_3,11,0,0,0,0,0,0,0,0,0,0
good,65_3,12,0,0,0,0,0,0,0,0,0,0
good,65_3,13,1,1,0,0,0,0,0,0,0,0
good,65_3,14,0,0,0,0,0,1,0,0,0,0
good,65_3,15,0,0,0,0,0,0,0,0,0,0
good,65_3,16,0,0,0,0,0,0,0,0,0,0
good,65_3,17,0,0,0,0,0,0,0,0,0,0
good,65_3,18,0,0,0,0,0,0,0,0,0,0
good,65_3,19,0,0,0,0,0,0,0,0,0,0
good,65_3,20,0,0,0,0,0,0,0,0,0,0
good,65_3,21,0,0,0,0,0,0,0,0,0,0
good,65_3,22,0,0,0,0,0,0,0,0,0,0
good,65_3,23,0,0,0,0,0,0,0,0,0,1
good,65_3,24,0,0,0,0,0,0,0,0,0,0
good,65_3,25,0,0,0,0,0,0,0,0,0,0
good,65_3,26,1,0,0,0,0,0,0,0,0,0
good,65_3,27,0,0,0,0,0,0,0,0,0,0
good,65_3,28,1,0,0,0,0,0,0,0,0,0
good,65_3,29,0,0,0,0,0,0,0,0,0,0
good,65_3,30,0,0,0,0,0,0,0,0,0,0
good,65_3,31,0,0,0,0,0,0,0,0,0,0
good,65_3,32,0,0,0,0,0,0,0,0,0,0
good,65_3,33,0,1,0,0,0,0,0,0,0,0
good,65_3,34,1,0,0,0,0,0,0,0,0,0
good,65_3,35,0,0,0,0,0,0,0,0,0,0
good,65_3,36,0,0,0,0,0,0,0,0,0,0
good,65_3,37,0,0,0,0,0,0,0,0,0,0
good,65_3,38,0,0,0,0,0,0,0,0,0,0
good,65_3,39,0,0,0,0,0,0,0,0,0,0
good,65_3,40,0,0,0,1,0,0,0,0,0,0
good,65_3,41,0,0,0,0,0,0,0,0,0,0
good,65_3,42,0,0,0,0,0,0,0,0,0,0
good,65_3,43,1,0,0,0,0,1,0,0,0,0
good,65_3,44,0,0,0,0,0,0,0,0,0,0
good,65_3,45,0,0,0,0,0,0,0,0,0,0
good,65_3,46,0,0,0,0,0,0,0,0,0,0
good,65_3,47,0,0,0,0,0,0,0,0,0,0
good,65_3,48,0,0,0,0,0,0,0,0,0,0
good,65_3,49,0,0,0,0,0,0,0,0,1,1
good,65_3,50,0,0,0,0,0,0,0,0,0,0
good,65_3,51,0,0,0,0,0,0,0,0,0,1
good,65_3,52,0,0,0,0,0,0,0,0,0,0
good,65_3,53,1,0,0,0,0,0,0,0,0,0
good,65_3,54,0,0,0,0,0,0,0,0,0,0
good,65_3,55,0,0,0,0,0,0,0,0,0,0
good,65_3,56,0,0,0,0,0,0,0,0,0,0
good,65_3,57,0,1,0,0,0,0,0,0,0,0
good,65_3,58,0,0,0,0,0,1,0,0,0,0
good,65_3,59,0,0,0,0,0,0,0,0,0,0
good,65_3,60,0,0,0,0,0,0,0,0,0,0
good,65_3,61,0,0,0,0,0,0,0,0,0,0
good,65_3,62,0,0,0,0,0,0,0,0,0,0
good,65_3,63,0,0,0,0,0,0,0,0,0,0
good,65_3,64,0,0,0,0,0,0,0,0,0,0
good,65_3,65,0,0,0,0,0,0,0,0,0,0
good,65_3,66,0,0,0,0,0,0,0,0,0,0
good,65_3,67,0,0,0,0,0,0,0,0,0,0
good,65_3,68,0,1,0,0,0,0,0,0,0,0
good,65_3,69,0,0,0,0,0,0,0,0,0,0
good,65_3,70,0,0,0,0,0,0,0,0,0,0
good,65_3,71,0,0,0,0,0,0,0,0,0,0
good,65_3,72,0,0,0,0,0,0,0,0,0,1
good,65_3,73,0,0,0,0,0,0,0,0,0,0
good,65_3,74,0,0,0,0,0,0,0,0,0,0
good,65_3,75,0,0,0,0,0,0,0,0,0,1
good,65_3,76,0,0,0,0,0,0,0,0,0,0
good,65_3,77,0,0,0,0,0,0,0,0,0,0
good,65_3,78,0,0,0,0,0,0,0,0,0,0
good,65_3,79,0,0,0,0,0,0,0,0,0,0
good,65_3,80,0,0,0,0,0,0,0,0,0,0
good,65_3,81,0,1,0,0,0,0,0,0,0,0
good,65_3,82,0,0,0,0,0,0,0,0,0,0
good,65_3,83,0,0,0,0,0,0,0,0,0,0
good,65_3,84,0,0,0,0,0,0,0,0,0,1
good,65_3,85,0,0,0,0,0,0,0,0,0,0
good,65_3,86,0,0,0,0,0,0,0,0,0,0
good,65_3,87,0,1,0,0,0,0,0,0,0,0
good,65_3,88,0,0,0,0,0,0,0,0,0,0
