mu_crisis,sigma_crisis,sigma_normal,dEL,dP99,gap_pct,ratio_alpha,C1,C2,S1,n_pass,P99_bl,E_L_g0,P99_g0
1.8,0.25,0.3,-38.5,55.1,14.1,1.17,True,False,False,1,1094.03,491.454,1697.06
1.6,0.2,0.2,-39.7,53.2,13.6,1.2,True,False,False,1,1094.03,481.996,1676.01
1.4,0.3,0.3,-39.9,45.8,15.5,1.2,True,False,False,1,1094.03,480.627,1595.2599999999998
1.6,0.2,0.25,-39.5,53.2,14.0,1.2,True,False,False,1,1094.03,483.207,1676.01
1.8,0.3,0.25,-38.9,56.0,13.4,1.18,True,False,False,1,1094.03,488.6405,1707.0
1.8,0.3,0.2,-39.0,56.0,12.9,1.18,True,False,False,1,1094.03,487.4295,1707.0
1.8,0.3,0.3,-38.5,56.0,14.1,1.18,True,False,False,1,1094.03,491.5235,1707.0
1.6,0.3,0.2,-39.7,53.2,13.7,1.17,True,False,False,1,1094.03,482.3495,1676.01
1.8,0.25,0.25,-38.9,55.1,13.4,1.17,True,False,False,1,1094.03,488.571,1697.06
1.8,0.25,0.2,-39.0,55.1,12.9,1.17,True,False,False,1,1094.03,487.36,1697.06
1.8,0.2,0.3,-38.5,55.1,14.0,1.16,True,False,False,1,1094.03,491.228,1697.06
1.8,0.2,0.25,-38.9,55.1,13.2,1.16,True,False,False,1,1094.03,488.345,1697.06
1.8,0.2,0.2,-39.1,55.1,12.8,1.16,True,False,False,1,1094.03,487.134,1697.06
1.6,0.3,0.3,-39.1,53.2,14.9,1.17,True,False,False,1,1094.03,486.4435,1676.01
1.6,0.3,0.25,-39.5,53.2,14.2,1.17,True,False,False,1,1094.03,483.5605,1676.01
1.6,0.2,0.3,-39.2,53.2,14.7,1.2,True,False,False,1,1094.03,486.09,1676.01
1.6,0.25,0.3,-39.2,53.2,14.8,1.21,True,False,False,1,1094.03,486.3175,1676.01
1.6,0.25,0.25,-39.5,53.2,14.1,1.21,True,False,False,1,1094.03,483.4345,1676.01
1.6,0.25,0.2,-39.7,53.2,13.6,1.21,True,False,False,1,1094.03,482.2235,1676.01
1.2,0.2,0.2,-41.1,41.0,15.1,1.19,False,False,False,0,1094.03,470.6455,1543.01
1.2,0.25,0.2,-41.1,41.0,15.1,1.19,False,False,False,0,1094.03,470.7215,1543.01
1.2,0.2,0.3,-40.6,41.0,16.2,1.19,False,False,False,0,1094.03,474.7395,1543.01
1.2,0.2,0.25,-41.0,41.0,15.5,1.19,False,False,False,0,1094.03,471.8565,1543.01
1.4,0.3,0.25,-40.2,45.8,14.8,1.2,False,False,False,0,1094.03,477.744,1595.2599999999998
1.4,0.25,0.2,-40.4,42.6,14.3,1.2,False,False,False,0,1094.03,476.133,1560.04
1.4,0.25,0.25,-40.3,42.6,14.8,1.2,False,False,False,0,1094.03,477.344,1560.04
1.4,0.25,0.3,-39.9,42.6,15.5,1.2,False,False,False,0,1094.03,480.227,1560.04
1.4,0.3,0.2,-40.4,45.8,14.3,1.2,False,False,False,0,1094.03,476.533,1595.2599999999998
1.2,0.3,0.25,-41.0,41.0,15.4,1.19,False,False,False,0,1094.03,471.7065,1543.01
1.2,0.3,0.2,-41.1,41.0,15.0,1.19,False,False,False,0,1094.03,470.4955,1543.01
1.2,0.25,0.3,-40.6,41.0,16.3,1.19,False,False,False,0,1094.03,474.8155,1543.01
1.2,0.3,0.3,-40.6,41.0,16.2,1.19,False,False,False,0,1094.03,474.5895,1543.01
1.2,0.25,0.25,-41.0,41.0,15.6,1.19,False,False,False,0,1094.03,471.9325,1543.01
1.4,0.2,0.2,-40.4,42.6,14.3,1.2,False,False,False,0,1094.03,476.4975,1560.04
1.4,0.2,0.25,-40.2,42.6,14.8,1.2,False,False,False,0,1094.03,477.7085,1560.04
1.4,0.2,0.3,-39.9,42.6,15.5,1.2,False,False,False,0,1094.03,480.5915,1560.04
