alpha,E_pi,scenario,E_L,P99_L,P99_theta,Output,premium_pct
0.3,0.45,baseline,801.73275,1097.039999999999,1097.039999999999,1198.26725,0.0
0.3,0.45,G0,648.0525,1451.0299999999993,1813.787499999999,1689.934375,32.26773864216441
0.3,0.45,G1,683.1725,1363.0099999999998,1635.6119999999996,1580.193,24.244330197622777
0.3,0.45,G2,709.6765,1227.0299999999993,1349.7329999999993,1419.3558500000001,11.849157733537542
0.3,0.6,baseline,801.73275,1097.039999999999,1097.039999999999,1198.26725,0.0
0.3,0.6,G0,560.6005,1329.0,1661.25,1799.249375,21.144169765915667
0.3,0.6,G1,609.117,1255.0,1506.0,1669.0596,14.398745715744287
0.3,0.6,G2,655.902,1143.0299999999993,1257.3329999999994,1478.5078,4.192189892802478
0.3,0.75,baseline,801.73275,1097.039999999999,1097.039999999999,1198.26725,0.0
0.3,0.75,G0,472.45325,1259.0199999999995,1573.7749999999994,1909.4334375,14.765186319550839
0.3,0.75,G1,534.35225,1197.0499999999988,1436.4599999999984,1758.7772999999997,9.116349449427542
0.3,0.75,G2,601.63225,1087.0299999999993,1195.7329999999993,1538.204525,-0.9124553343542452
0.3,0.85,baseline,801.73275,1097.039999999999,1097.039999999999,1198.26725,0.0
0.3,0.85,G0,412.55075,1192.1899999999955,1490.2374999999943,1984.3115625,8.673339167213268
0.3,0.85,G1,483.6195,1149.1099999999974,1378.9319999999968,1819.6566,4.7464085174650394
0.3,0.85,G2,564.8845,1053.0199999999995,1158.3219999999997,1578.6270500000003,-4.0126157660613675
0.5,0.45,baseline,801.73275,1097.039999999999,1097.039999999999,1198.26725,0.0
0.5,0.45,G0,646.30475,1553.0099999999998,1941.2624999999998,1692.1190625,41.56366221833308
0.5,0.45,G1,681.72375,1453.0699999999983,1743.683999999998,1581.9315,32.453693575439324
0.5,0.45,G2,708.69275,1299.0099999999998,1428.9109999999998,1420.437975,18.410449938015105
0.5,0.6,baseline,801.73275,1097.039999999999,1097.039999999999,1198.26725,0.0
0.5,0.6,G0,559.759,1474.0699999999983,1842.5874999999978,1800.30125,34.3679355356231
0.5,0.6,G1,608.39625,1391.0699999999983,1669.283999999998,1669.9245,26.80212207394439
0.5,0.6,G2,655.483,1225.0099999999998,1347.5109999999997,1478.9687,11.665025887843727
0.5,0.75,baseline,801.73275,1097.039999999999,1097.039999999999,1198.26725,0.0
