profile_id,dimension,param_lo,param_hi,p99_at_lo,p99_at_hi,central_p99,range_pct,scenario
P1,alpha,0.3,0.95,1891.3,2165.0,2123.8,12.89,G0
P1,beta_a,1.5,4.5,1933.8,2166.2,2123.8,10.95,G0
P1,epi,0.4,0.8,2123.8,2122.5,2123.8,0.06,G0
P1,eta,0.0,0.04,2086.2,2160.0,2123.8,3.47,G0
P1,h_range,"U(0.30,0.60)","U(0.70,0.95)",2266.2,2055.0,2123.8,9.95,G0
P2,alpha,0.3,0.95,1575.0,1858.8,1667.5,17.02,G0
P2,beta_a,1.5,4.5,1667.5,1900.1,1667.5,13.95,G0
P2,epi,0.4,0.8,1670.1,1647.6,1667.5,1.35,G0
P2,eta,0.0,0.04,1593.8,1712.6,1667.5,7.12,G0
P2,h_range,"U(0.30,0.60)","U(0.70,0.95)",1978.8,1636.3,1667.5,20.53,G0
P3,alpha,0.3,0.95,1766.3,2051.3,2041.3,13.96,G0
P3,beta_a,1.5,4.5,1843.8,2058.8,2041.3,10.53,G0
P3,epi,0.4,0.8,2043.8,2037.5,2041.3,0.31,G0
P3,eta,0.0,0.04,1973.8,2107.5,2041.3,6.55,G0
P3,h_range,"U(0.30,0.60)","U(0.70,0.95)",2263.8,2023.8,2041.3,11.76,G0
P4,alpha,0.3,0.95,1978.8,2260.0,2253.8,12.48,G0
P4,beta_a,1.5,4.5,2126.3,2303.8,2253.8,7.88,G0
P4,epi,0.4,0.8,2253.8,2253.8,2253.8,0.0,G0
P4,eta,0.0,0.04,2232.5,2306.3,2253.8,3.27,G0
P4,h_range,"U(0.30,0.60)","U(0.70,0.95)",2317.5,2151.2,2253.8,7.38,G0
P5,alpha,0.3,0.95,1922.6,2248.8,2153.8,15.15,G0
P5,beta_a,1.5,4.5,2038.8,2262.5,2153.8,10.39,G0
P5,epi,0.4,0.8,2157.5,2153.8,2153.8,0.17,G0
P5,eta,0.0,0.04,2106.3,2173.8,2153.8,3.13,G0
P5,h_range,"U(0.30,0.60)","U(0.70,0.95)",2272.5,2082.6,2153.8,8.82,G0
P6,alpha,0.3,0.95,1845.0,2140.0,1845.0,15.99,G0
P6,beta_a,1.5,4.5,1845.0,2047.5,1845.0,10.97,G0
P6,epi,0.4,0.8,1846.3,1843.8,1845.0,0.14,G0
P6,eta,0.0,0.04,1828.8,1905.0,1845.0,4.13,G0
P6,h_range,"U(0.30,0.60)","U(0.70,0.95)",1945.0,1666.3,1845.0,15.11,G0
P7,alpha,0.3,0.95,2057.5,2361.3,2310.0,13.15,G0
P7,beta_a,1.5,4.5,2261.3,2412.5,2310.0,6.55,G0
P7,epi,0.4,0.8,2311.2,2310.0,2310.0,0.05,G0
P7,eta,0.0,0.04,2268.8,2310.0,2310.0,1.79,G0
P7,h_range,"U(0.30,0.60)","U(0.70,0.95)",2310.0,2157.6,2310.0,6.6,G0
P8,alpha,0.3,0.95,2040.2,2317.5,2317.5,11.97,G0
P8,beta_a,1.5,4.5,2155.0,2317.5,2317.5,7.01,G0
P8,epi,0.4,0.8,2317.5,2316.3,2317.5,0.05,G0
P8,eta,0.0,0.04,2302.5,2356.2,2317.5,2.32,G0
P8,h_range,"U(0.30,0.60)","U(0.70,0.95)",2362.5,2227.5,2317.5,5.83,G0
