profile_id,city,scenario,t,mean_loss,p99_brut,p99_theta,tail_ratio,var_tau,h_bar,follow_rate,c_excess,var_tau_norm,h_bar_norm,follow_rate_norm
P1,Frankfurt,baseline,1,612.67,935.24,935.24,1.5265,0.03215,0.699941,0.0,0.037756,1.0,1.0,0.0
P1,Frankfurt,baseline,2,616.655,877.36,877.36,1.4228,0.032824,0.700057,0.0,0.037461,1.020967,1.000166,0.0
P1,Frankfurt,baseline,3,598.225,891.34,891.34,1.49,0.033558,0.700105,0.0,0.037341,1.043801,1.000235,0.0
P1,Frankfurt,baseline,4,596.22,899.48,899.48,1.5086,0.034249,0.700232,0.0,0.037886,1.065293,1.000415,0.0
P1,Frankfurt,baseline,5,608.465,903.22,903.22,1.4844,0.03482,0.700147,0.0,0.035763,1.083046,1.000294,0.0
P1,Frankfurt,baseline,6,597.605,1004.12,1004.12,1.6802,0.035363,0.699985,0.0,0.036817,1.099921,1.000062,0.0
P1,Frankfurt,baseline,7,621.61,868.25,868.25,1.3968,0.035977,0.700102,0.0,0.038223,1.119013,1.00023,0.0
P1,Frankfurt,baseline,8,590.035,919.06,919.06,1.5576,0.036466,0.700005,0.0,0.033423,1.134236,1.000091,0.0
P1,Frankfurt,baseline,9,601.44,871.03,871.03,1.4482,0.036948,0.699925,0.0,0.035665,1.149239,0.999977,0.0
P1,Frankfurt,baseline,10,601.01,923.39,923.39,1.5364,0.037503,0.699929,0.0,0.036406,1.166504,0.999983,0.0
P1,Frankfurt,baseline,11,599.325,965.85,965.85,1.6116,0.038009,0.699886,0.0,0.034313,1.182237,0.999922,0.0
P1,Frankfurt,baseline,12,593.96,839.2,839.2,1.4129,0.038429,0.699803,0.0,0.034065,1.195297,0.999803,0.0
P1,Frankfurt,baseline,13,611.02,916.14,916.14,1.4994,0.038853,0.699739,0.0,0.036533,1.20848,0.999712,0.0
P1,Frankfurt,baseline,14,589.115,852.68,852.68,1.4474,0.039292,0.699854,0.0,0.032948,1.222149,0.999876,0.0
P1,Frankfurt,baseline,15,591.19,956.55,956.55,1.618,0.039645,0.699513,0.0,0.033342,1.233132,0.999389,0.0
P1,Frankfurt,baseline,16,599.385,962.15,962.15,1.6052,0.04006,0.69947,0.0,0.032483,1.246037,0.999327,0.0
P1,Frankfurt,baseline,17,607.135,977.1,977.1,1.6094,0.040351,0.699498,0.0,0.0341,1.255083,0.999368,0.0
P1,Frankfurt,baseline,18,590.82,822.18,822.18,1.3916,0.040808,0.699326,0.0,0.033603,1.269302,0.999122,0.0
P1,Frankfurt,baseline,19,603.24,880.0,880.0,1.4588,0.041203,0.699403,0.0,0.034958,1.281572,0.999232,0.0
P1,Frankfurt,baseline,20,594.03,911.19,911.19,1.5339,0.041599,0.69942,0.0,0.033113,1.293883,0.999256,0.0
P1,Frankfurt,G0,1,549.17,1699.03,2123.7875,3.0938,0.031802,0.689544,0.74235,0.076998,1.0,1.0,0.959335
P1,Frankfurt,G0,2,553.54,1667.24,2084.05,3.012,0.031893,0.679878,0.743555,0.082257,1.002859,0.985982,0.960892
P1,Frankfurt,G0,3,551.755,1676.08,2095.1,3.0377,0.031836,0.670563,0.743427,0.073945,1.001074,0.972474,0.960727
P1,Frankfurt,G0,4,534.7,1650.2,2062.75,3.0862,0.031715,0.6617,0.744722,0.076396,0.997271,0.95962,0.962401
P1,Frankfurt,G0,5,545.305,1666.08,2082.6,3.0553,0.031482,0.653333,0.745752,0.075841,0.989932,0.947486,0.963732
P1,Frankfurt,G0,6,591.12,1690.09,2112.6125,2.8591,0.031219,0.645422,0.747523,0.083166,0.981662,0.936014,0.966019
P1,Frankfurt,G0,7,587.055,1698.0,2122.5,2.8924,0.031041,0.637835,0.748498,0.083077,0.976053,0.925011,0.967279
P1,Frankfurt,G0,8,574.675,1666.0,2082.5,2.899,0.030746,0.630792,0.749298,0.076656,0.966788,0.914796,0.968313
P1,Frankfurt,G0,9,562.97,1602.43,2003.0375,2.8464,0.030427,0.623704,0.752583,0.081518,0.95675,0.904517,0.972558
P1,Frankfurt,G0,10,599.925,1715.08,2143.85,2.8588,0.030141,0.617582,0.754565,0.084483,0.947781,0.895639,0.97512
P1,Frankfurt,G0,11,593.79,1696.06,2120.075,2.8563,0.029876,0.611324,0.755728,0.079951,0.939441,0.886563,0.976622
P1,Frankfurt,G0,12,582.59,1724.02,2155.025,2.9592,0.029475,0.605491,0.757635,0.08022,0.926813,0.878104,0.979087
P1,Frankfurt,G0,13,573.335,1699.08,2123.85,2.9635,0.029057,0.599877,0.759675,0.084575,0.913676,0.869963,0.981724
P1,Frankfurt,G0,14,568.79,1726.04,2157.55,3.0346,0.028738,0.594744,0.763423,0.08047,0.903644,0.862518,0.986567
P1,Frankfurt,G0,15,563.495,1709.17,2136.4625,3.0332,0.028493,0.589678,0.764562,0.084952,0.895948,0.855171,0.98804
P1,Frankfurt,G0,16,573.07,1749.12,2186.4,3.0522,0.028178,0.585197,0.7673,0.08292,0.886039,0.848673,0.991577
P1,Frankfurt,G0,17,557.04,1756.14,2195.175,3.1526,0.027914,0.581076,0.768673,0.080305,0.877756,0.842696,0.993351
P1,Frankfurt,G0,18,574.635,1567.32,1959.15,2.7275,0.027641,0.576711,0.768965,0.087898,0.869169,0.836367,0.993729
P1,Frankfurt,G0,19,596.27,1738.23,2172.7875,2.9152,0.027292,0.572908,0.770895,0.087955,0.858197,0.830851,0.996223
P1,Frankfurt,G0,20,625.13,1659.89,2074.8625,2.6553,0.026938,0.569141,0.773817,0.089523,0.847049,0.825388,1.0
P1,Frankfurt,G1,1,558.1,1548.06,1857.672,2.7738,0.031906,0.6911,0.630607,0.059119,1.0,1.0,0.975124
P1,Frankfurt,G1,2,563.595,1542.14,1850.568,2.7363,0.032108,0.68287,0.630887,0.062462,1.006336,0.988091,0.975556
P1,Frankfurt,G1,3,562.845,1502.39,1802.868,2.6693,0.03221,0.674972,0.630235,0.056042,1.009531,0.976663,0.974548
P1,Frankfurt,G1,4,553.93,1523.14,1827.768,2.7497,0.032263,0.667398,0.631622,0.058749,1.011198,0.965704,0.976693
P1,Frankfurt,G1,5,563.095,1524.01,1828.812,2.7065,0.032167,0.660253,0.630473,0.057477,1.008193,0.955365,0.974915
P1,Frankfurt,G1,6,602.14,1507.41,1808.892,2.5034,0.032081,0.653426,0.630905,0.062648,1.005479,0.945486,0.975584
P1,Frankfurt,G1,7,599.06,1523.14,1827.768,2.5425,0.032004,0.647012,0.63157,0.062754,1.003069,0.936206,0.976612
P1,Frankfurt,G1,8,590.255,1526.08,1831.296,2.5855,0.031847,0.640926,0.63099,0.058113,0.998154,0.927399,0.975715
P1,Frankfurt,G1,9,582.845,1489.1,1786.92,2.5549,0.031601,0.634856,0.634345,0.061133,0.990438,0.918616,0.980903
P1,Frankfurt,G1,10,615.545,1543.64,1852.368,2.5078,0.031447,0.62955,0.63458,0.063386,0.98561,0.910939,0.981266
P1,Frankfurt,G1,11,612.285,1526.28,1831.536,2.4928,0.031235,0.624157,0.63691,0.059268,0.978971,0.903136,0.984869
P1,Frankfurt,G1,12,603.435,1545.05,1854.06,2.5604,0.030946,0.619038,0.637278,0.059282,0.969914,0.895728,0.985437
P1,Frankfurt,G1,13,595.73,1485.51,1782.612,2.4936,0.030657,0.614155,0.63803,0.063929,0.960853,0.888663,0.986601
P1,Frankfurt,G1,14,596.13,1563.01,1875.612,2.6219,0.030496,0.609605,0.6413,0.060167,0.955828,0.882079,0.991658
P1,Frankfurt,G1,15,590.46,1547.16,1856.592,2.6203,0.03035,0.605229,0.640692,0.0643,0.951227,0.875748,0.990718
P1,Frankfurt,G1,16,597.89,1609.23,1931.076,2.6915,0.030124,0.601183,0.643062,0.062126,0.944148,0.869893,0.994383
P1,Frankfurt,G1,17,586.065,1583.26,1899.912,2.7015,0.029931,0.597557,0.644435,0.06065,0.938097,0.864646,0.996505
P1,Frankfurt,G1,18,603.245,1450.77,1740.924,2.4049,0.029733,0.593796,0.64369,0.065266,0.931904,0.859203,0.995353
P1,Frankfurt,G1,19,625.335,1579.07,1894.884,2.5252,0.0295,0.590493,0.64579,0.064701,0.92459,0.854425,0.998601
